studentId,name,email,branchId,semester,section,rollNumber
21ITR001,Akhil Kumar,21itr001@sasi.ac.in,IT,6,A,21ITR001
21ITR002,Rahul Varma,21itr002@sasi.ac.in,IT,6,A,21ITR002
21ITR003,Sai Sagar,21itr003@sasi.ac.in,IT,6,A,21ITR003
21ITR004,Teja Reddy,21itr004@sasi.ac.in,IT,6,A,21ITR004
21ITR005,Nikhil Chowdary,21itr005@sasi.ac.in,IT,6,A,21ITR005
21ITR006,Vamsi Krishna,21itr006@sasi.ac.in,IT,6,A,21ITR006
21ITR007,Arjun Rao,21itr007@sasi.ac.in,IT,6,A,21ITR007
21ITR008,Karthik Sai,21itr008@sasi.ac.in,IT,6,A,21ITR008
21ITR009,Harsha Vardhan,21itr009@sasi.ac.in,IT,6,A,21ITR009
21ITR010,Rohit Kumar,21itr010@sasi.ac.in,IT,6,A,21ITR010
